Date : 2025-04-13 21:09:17
Directory : c:\Users\Anuxa\source\repos\iWenJuan
Total : 192 files,  7176 codes, 990 comments, 1371 blanks, all 9537 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |         94 |      3,036 |        965 |        704 |      4,705 |
| Razor      |         43 |      2,872 |          0 |        479 |      3,351 |
| JSON       |         30 |        520 |          0 |         23 |        543 |
| CSS        |          2 |        314 |          0 |         70 |        384 |
| XML        |         13 |        256 |          0 |         67 |        323 |
| Docker     |          5 |        102 |         25 |         25 |        152 |
| Ignore     |          1 |         30 |          0 |          0 |         30 |
| JavaScript |          2 |         28 |          0 |          2 |         30 |
| YAML       |          2 |         18 |          0 |          1 |         19 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        192 |      7,176 |        990 |      1,371 |      9,537 |
| . (Files)                                                                                                           |          4 |         59 |          0 |          1 |         60 |
| iWenJuan                                                                                                            |          6 |        216 |         46 |         52 |        314 |
| iWenJuan.AppHost                                                                                                    |          5 |         86 |          7 |         13 |        106 |
| iWenJuan.AppHost (Files)                                                                                            |          4 |         54 |          7 |         13 |         74 |
| iWenJuan.AppHost\Properties                                                                                         |          1 |         32 |          0 |          0 |         32 |
| iWenJuan.Client.Answer                                                                                              |         16 |        760 |          4 |        146 |        910 |
| iWenJuan.Client.Answer (Files)                                                                                      |          4 |         75 |          4 |         18 |         97 |
| iWenJuan.Client.Answer\Components                                                                                   |         10 |        505 |          0 |         92 |        597 |
| iWenJuan.Client.Answer\Components (Files)                                                                           |          3 |         39 |          0 |          5 |         44 |
| iWenJuan.Client.Answer\Components\Layout                                                                            |          1 |         15 |          0 |          2 |         17 |
| iWenJuan.Client.Answer\Components\Pages                                                                             |          6 |        451 |          0 |         85 |        536 |
| iWenJuan.Client.Answer\Properties                                                                                   |          1 |         23 |          0 |          1 |         24 |
| iWenJuan.Client.Answer\wwwroot                                                                                      |          1 |        157 |          0 |         35 |        192 |
| iWenJuan.Client.WorkSpace                                                                                           |         44 |      2,756 |         28 |        465 |      3,249 |
| iWenJuan.Client.WorkSpace (Files)                                                                                   |          4 |        116 |         17 |         21 |        154 |
| iWenJuan.Client.WorkSpace\Components                                                                                |         33 |      2,367 |          0 |        387 |      2,754 |
| iWenJuan.Client.WorkSpace\Components (Files)                                                                        |          3 |         51 |          0 |          6 |         57 |
| iWenJuan.Client.WorkSpace\Components\Custom                                                                         |          3 |        136 |          0 |         23 |        159 |
| iWenJuan.Client.WorkSpace\Components\Layout                                                                         |          3 |        162 |          0 |         18 |        180 |
| iWenJuan.Client.WorkSpace\Components\Pages                                                                          |         24 |      2,018 |          0 |        340 |      2,358 |
| iWenJuan.Client.WorkSpace\Components\Pages (Files)                                                                  |          4 |        203 |          0 |         41 |        244 |
| iWenJuan.Client.WorkSpace\Components\Pages\Auth                                                                     |          6 |        505 |          0 |         73 |        578 |
| iWenJuan.Client.WorkSpace\Components\Pages\Data                                                                     |          6 |        699 |          0 |        122 |        821 |
| iWenJuan.Client.WorkSpace\Components\Pages\Survey                                                                   |          8 |        611 |          0 |        104 |        715 |
| iWenJuan.Client.WorkSpace\Properties                                                                                |          1 |         23 |          0 |          1 |         24 |
| iWenJuan.Client.WorkSpace\Services                                                                                  |          3 |         65 |         11 |         19 |         95 |
| iWenJuan.Client.WorkSpace\wwwroot                                                                                   |          3 |        185 |          0 |         37 |        222 |
| iWenJuan.Service.Auth                                                                                               |         20 |        589 |        244 |        128 |        961 |
| iWenJuan.Service.Auth (Files)                                                                                       |          5 |        134 |         31 |         24 |        189 |
| iWenJuan.Service.Auth\Controllers                                                                                   |          2 |        138 |         60 |         33 |        231 |
| iWenJuan.Service.Auth\Data                                                                                          |          1 |         14 |          0 |          4 |         18 |
| iWenJuan.Service.Auth\Interface                                                                                     |          5 |         31 |         72 |         16 |        119 |
| iWenJuan.Service.Auth\Models                                                                                        |          1 |         15 |          0 |          7 |         22 |
| iWenJuan.Service.Auth\Properties                                                                                    |          1 |         31 |          0 |          0 |         31 |
| iWenJuan.Service.Auth\Services                                                                                      |          4 |        179 |         54 |         35 |        268 |
| iWenJuan.Service.Auth\Utils                                                                                         |          1 |         47 |         27 |          9 |         83 |
| iWenJuan.Service.DataProcessing                                                                                     |          9 |        352 |         60 |         71 |        483 |
| iWenJuan.Service.DataProcessing (Files)                                                                             |          5 |         89 |          9 |         25 |        123 |
| iWenJuan.Service.DataProcessing\Controllers                                                                         |          1 |         41 |          2 |         14 |         57 |
| iWenJuan.Service.DataProcessing\Interface                                                                           |          1 |          6 |          0 |          4 |         10 |
| iWenJuan.Service.DataProcessing\Properties                                                                          |          1 |         32 |          0 |          0 |         32 |
| iWenJuan.Service.DataProcessing\Services                                                                            |          1 |        184 |         49 |         28 |        261 |
| iWenJuan.Service.DataStorage                                                                                        |         13 |        338 |        137 |         67 |        542 |
| iWenJuan.Service.DataStorage (Files)                                                                                |          5 |        104 |         13 |         27 |        144 |
| iWenJuan.Service.DataStorage\Controllers                                                                            |          1 |        103 |         54 |         12 |        169 |
| iWenJuan.Service.DataStorage\Data                                                                                   |          1 |         10 |          0 |          3 |         13 |
| iWenJuan.Service.DataStorage\Interface                                                                              |          2 |         15 |         30 |          8 |         53 |
| iWenJuan.Service.DataStorage\Models                                                                                 |          1 |         15 |          0 |          3 |         18 |
| iWenJuan.Service.DataStorage\Properties                                                                             |          1 |         31 |          0 |          0 |         31 |
| iWenJuan.Service.DataStorage\Services                                                                               |          2 |         60 |         40 |         14 |        114 |
| iWenJuan.Service.Email                                                                                              |          9 |        209 |         82 |         50 |        341 |
| iWenJuan.Service.Email (Files)                                                                                      |          5 |         93 |         13 |         25 |        131 |
| iWenJuan.Service.Email\Interface                                                                                    |          1 |          5 |         10 |          2 |         17 |
| iWenJuan.Service.Email\Properties                                                                                   |          1 |         31 |          0 |          0 |         31 |
| iWenJuan.Service.Email\Services                                                                                     |          2 |         80 |         59 |         23 |        162 |
| iWenJuan.Service.Survey                                                                                             |         28 |      1,091 |        309 |        203 |      1,603 |
| iWenJuan.Service.Survey (Files)                                                                                     |          5 |        103 |         25 |         28 |        156 |
| iWenJuan.Service.Survey\Controllers                                                                                 |          7 |        292 |         99 |         62 |        453 |
| iWenJuan.Service.Survey\Data                                                                                        |          1 |         40 |          0 |          8 |         48 |
| iWenJuan.Service.Survey\Extension                                                                                   |          1 |        106 |          0 |          5 |        111 |
| iWenJuan.Service.Survey\Interface                                                                                   |          4 |         55 |        146 |         33 |        234 |
| iWenJuan.Service.Survey\Models                                                                                      |          5 |         77 |          0 |         20 |         97 |
| iWenJuan.Service.Survey\Properties                                                                                  |          1 |         31 |          0 |          0 |         31 |
| iWenJuan.Service.Survey\Services                                                                                    |          4 |        387 |         39 |         47 |        473 |
| iWenJuan.Service.TemplateCommunity                                                                                  |          9 |        215 |         22 |         54 |        291 |
| iWenJuan.Service.TemplateCommunity (Files)                                                                          |          4 |         66 |          4 |         22 |         92 |
| iWenJuan.Service.TemplateCommunity\Controllers                                                                      |          2 |         72 |         15 |         22 |        109 |
| iWenJuan.Service.TemplateCommunity\Extension                                                                        |          1 |         15 |          0 |          3 |         18 |
| iWenJuan.Service.TemplateCommunity\Properties                                                                       |          1 |         23 |          0 |          1 |         24 |
| iWenJuan.Service.TemplateCommunity\Utils                                                                            |          1 |         39 |          3 |          6 |         48 |
| iWenJuan.ServiceDefaults                                                                                            |          2 |         93 |         23 |         27 |        143 |
| iWenJuan.Shared                                                                                                     |         27 |        412 |         28 |         94 |        534 |
| iWenJuan.Shared (Files)                                                                                             |          1 |          7 |          0 |          3 |         10 |
| iWenJuan.Shared\Dtos                                                                                                |         16 |        200 |         22 |         56 |        278 |
| iWenJuan.Shared\Dtos\Auth                                                                                           |          6 |         70 |          6 |         22 |         98 |
| iWenJuan.Shared\Dtos\Dashboard                                                                                      |          1 |         10 |          0 |          4 |         14 |
| iWenJuan.Shared\Dtos\DataProcess                                                                                    |          1 |         10 |         16 |          6 |         32 |
| iWenJuan.Shared\Dtos\Survey                                                                                         |          5 |         78 |          0 |         16 |         94 |
| iWenJuan.Shared\Dtos\SurveyData                                                                                     |          2 |         20 |          0 |          6 |         26 |
| iWenJuan.Shared\Dtos\TemplateCommunity                                                                              |          1 |         12 |          0 |          2 |         14 |
| iWenJuan.Shared\Enums                                                                                               |          6 |        121 |          0 |         18 |        139 |
| iWenJuan.Shared\Extension                                                                                           |          3 |         64 |          6 |         15 |         85 |
| iWenJuan.Shared\Utils                                                                                               |          1 |         20 |          0 |          2 |         22 |
| iWenJuan\iWenJuan.AppHost                                                                                           |          4 |        123 |         23 |         25 |        171 |
| iWenJuan\iWenJuan.AppHost (Files)                                                                                   |          3 |         94 |         23 |         24 |        141 |
| iWenJuan\iWenJuan.AppHost\Properties                                                                                |          1 |         29 |          0 |          1 |         30 |
| iWenJuan\iWenJuan.ServiceDefaults                                                                                   |          2 |         93 |         23 |         27 |        143 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                            | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Anuxa\source\repos\iWenJuan\.dockerignore                                                                  | Ignore     |         30 |          0 |          0 |         30 |
| c:\Users\Anuxa\source\repos\iWenJuan\docker-compose.override.yml                                                    | YAML       |         12 |          0 |          0 |         12 |
| c:\Users\Anuxa\source\repos\iWenJuan\docker-compose.yml                                                             | YAML       |          6 |          0 |          1 |          7 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\Program.cs                                                    | C#         |         14 |          7 |          5 |         26 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\Properties\launchSettings.json                                | JSON       |         32 |          0 |          0 |         32 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\appsettings.Development.json                                  | JSON       |          8 |          0 |          1 |          9 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\appsettings.json                                              | JSON       |          9 |          0 |          1 |         10 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.AppHost\iWenJuan.AppHost.csproj                                       | XML        |         23 |          0 |          6 |         29 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.Answer\Components\App.razor                                    | Razor      |         17 |          0 |          4 |         21 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.Answer\Components\Layout\MainLayout.razor                      | Razor      |         15 |          0 |          2 |         17 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.Answer\Components\Pages\AnswerComponent.razor                  | Razor      |        153 |          0 |         33 |        186 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.Answer\Components\Pages\Completed.razor                        | Razor      |         23 |          0 |          6 |         29 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.Answer\Components\Pages\Error.razor                            | Razor      |         29 |          0 |          8 |         37 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.Answer\Components\Pages\Home.razor                             | Razor      |          3 |          0 |          2 |          5 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.Answer\Components\Pages\Preview.razor                          | Razor      |         99 |          0 |         25 |        124 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.Answer\Components\Pages\QuestionComponent.razor                | Razor      |        144 |          0 |         11 |        155 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.Answer\Components\Routes.razor                                 | Razor      |          6 |          0 |          1 |          7 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.Answer\Components\_Imports.razor                               | Razor      |         16 |          0 |          0 |         16 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.Answer\Program.cs                                              | C#         |         33 |          4 |         11 |         48 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.Answer\Properties\launchSettings.json                          | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.Answer\appsettings.Development.json                            | JSON       |          8 |          0 |          1 |          9 |
